OTU 1	OTU 2	corr	pval	abs
ABGD0200002118683380	GQ44892911311	-0.302400061	0	0.302400061
AF37622411330	GQ44892911311	-0.301883584	0	0.301883584
GQ17545811439	GQ26792111489	-0.301275635	0	0.301275635
GQ13574111431	HQ78298711439	-0.300684323	0	0.300684323
GQ17537511452	DQ05741111426	-0.300009389	0	0.300009389
GQ44861211402	KR06847111490	0.300005284	0	0.300005284
DQ05748011449	HQ81483311443	0.300011606	0	0.300011606
DQ45587611442	HM18496811494	0.300015018	0	0.300015018
FJ97861911406	HW06645811507	0.300038269	0	0.300038269
JQ18332411323	KF84254211376	0.300043801	0	0.300043801
HM12426011479	DQ45585711455	0.300048211	0	0.300048211
GQ17540211433	AF37620111336	0.300050902	0	0.300050902
FJ95186911490	KC16303811518	0.300051364	0	0.300051364
JQ18852011340	GQ44914111407	0.30008223	0	0.30008223
GQ17544811452	AY97925411338	0.300110954	0	0.300110954
ADCP0200000111632431164781	AB16738611520	0.300112794	0	0.300112794
JQ18509211328	HQ68186411484	0.300114727	0	0.300114727
GQ44861211402	LC02877311520	0.30013694	0	0.30013694
EU46426111366	GQ44874411393	0.300147892	0	0.300147892
DQ45589611455	AB61505111516	0.30018325	0	0.30018325
HQ78392411435	DQ80839811389	0.300186423	0	0.300186423
HW06628811503	DQ45588211463	0.300188727	0	0.300188727
AF37622911349	AM27763811452	0.300194581	0	0.300194581
FM17975211686	DQ80166411390	0.300195223	0	0.300195223
HW06645311493	JN01265811453	0.300198666	0	0.300198666
GQ35847511354	CDYM01011941163183164690	0.300210462	0	0.300210462
GQ17545811439	FLKC010000261361601	0.300214533	0	0.300214533
JX09540411393	HQ71624611462	0.300224958	0	0.300224958
GQ44914111407	KF84298511423	0.300227163	0	0.300227163
AF37621811334	JQ59965311483	0.300234603	0	0.300234603
HQ75206111437	EU46200911392	0.300236924	0	0.300236924
HM84440911353	FJ95188011484	0.300239159	0	0.300239159
JX09563111390	EU47443111383	0.300239573	0	0.300239573
KF84266911379	DQ79331511293	0.300242366	0	0.300242366
DQ05738711394	JF92030911340	0.300253574	0	0.300253574
JADE01000006184367185846	EU45947411279	0.30025631	0	0.30025631
DQ45646511451	GQ44914111407	0.300259562	0	0.300259562
EU00985511492	DQ45615511438	0.300267494	0	0.300267494
HQ78225411444	EU77559111273	0.30027261	0	0.30027261
GQ86728911454	JF08949711303	0.3002745	0	0.3002745
AY68439611445	JQ18332411323	0.300280892	0	0.300280892
GQ17539111436	AM18307411431	0.300283106	0	0.300283106
DQ45643411440	DQ05748011449	0.300297228	0	0.300297228
AJ27905411362	AB69629711439	0.300297337	0	0.300297337
DQ79428011399	GQ44825311400	0.300302351	0	0.300302351
DQ79361711403	BALC01000015511634	0.300302449	0	0.300302449
AY97925411338	FN66739211495	0.300312775	0	0.300312775
GQ86744511457	KF84287111416	0.300329571	0	0.300329571
FJ36774511325	HM53477311436	0.300333263	0	0.300333263
AY85047511248	JX09605711410	0.300369742	0	0.300369742
JX09540411393	DQ79366511389	0.30037818	0	0.30037818
GQ49161611341	HK55591911267	0.300381336	0	0.300381336
JQ18852011340	GQ13876611351	0.300386471	0	0.300386471
HQ68183211451	DQ45595811447	0.300390308	0	0.300390308
GQ13375111367	JN68188411409	0.300402284	0	0.300402284
AY85045411226	GU30304711480	0.30041647	0	0.30041647
HW06626611495	EU46437211389	0.300417199	0	0.300417199
DQ45582811453	JQ18332411323	0.300422167	0	0.300422167
KF84292211397	KT95284011494	0.300428842	0	0.300428842
DQ45585711455	GQ35845411364	0.300432423	0	0.300432423
FJ36299611347	GU30304711480	0.30043614	0	0.30043614
HW06646611494	GQ35849611365	0.300445398	0	0.300445398
ADCP0200000111632431164781	GQ17538411420	0.300447028	0	0.300447028
GU30309611487	AY85051511210	0.3004505	0	0.3004505
HW06626611495	HQ74654411445	0.300467328	0	0.300467328
HQ81483311443	LC02877311520	0.300468554	0	0.300468554
KR06847111490	GQ45118711533	0.300473195	0	0.300473195
JQ18852011340	FJ36299611347	0.300476157	0	0.300476157
GQ87173111497	JQ18332411323	0.30047845	0	0.30047845
HQ71624611462	GQ45118711533	0.300479329	0	0.300479329
AJ60824411322	KR06847111490	0.300483384	0	0.300483384
DQ45585211460	JQ80567011467	0.300495145	0	0.300495145
DQ05738511392	FJ94706511274	0.300496892	0	0.300496892
GQ87171311490	GQ87173611483	0.300498519	0	0.300498519
AY85047511248	JF92030911340	0.300518275	0	0.300518275
GQ44878511394	DQ80658811403	0.300521985	0	0.300521985
EF02530011460	EU46437211389	0.300522564	0	0.300522564
GU17991711382	AM27763811452	0.300556763	0	0.300556763
DQ80001811436	DQ45588211463	0.300562469	0	0.300562469
GQ44909211375	JQ18332411323	0.300566526	0	0.300566526
DQ79428011399	GU30368711490	0.300567018	0	0.300567018
DQ79428011399	GQ44861211402	0.300567104	0	0.300567104
DQ45586711453	AY97925411338	0.30056802	0	0.30056802
HQ81483311443	JQ18332411323	0.300572366	0	0.300572366
GQ44834811394	EF40403411522	0.300580441	0	0.300580441
GQ86744511457	AB02397311445	0.300581777	0	0.300581777
DQ45642511422	JF16368811398	0.300584102	0	0.300584102
DQ05737511392	DQ67354511497	0.300592846	0	0.300592846
DQ45586711453	FN66739211495	0.300593328	0	0.300593328
GQ49188111349	JQ18509211328	0.300600805	0	0.300600805
JF16368811398	AJ42010711518	0.300612567	0	0.300612567
AF37621811334	DQ05741911445	0.300614523	0	0.300614523
GQ44861211402	HW06628411495	0.30062768	0	0.30062768
HM81322711345	JF92030911340	0.300634135	0	0.300634135
GQ13012211447	DQ45582811453	0.300637683	0	0.300637683
GQ17542811457	FJ36601311355	0.300639123	0	0.300639123
ADCP0200000111632431164781	AY85051511210	0.300641442	0	0.300641442
AY91629411399	GQ17539111436	0.300657325	0	0.300657325
FJ36299611347	DQ79357611392	0.300678957	0	0.300678957
DQ45616211455	GQ15640611356	0.300687287	0	0.300687287
GQ49203611335	AF37622411330	0.300712029	0	0.300712029
GQ44918111364	DQ80548011388	0.300724373	0	0.300724373
DQ79408811379	GQ86755811454	0.30072788	0	0.30072788
AM69681211489	GQ86728911454	0.300731707	0	0.300731707
AY85047511248	JX54345611491	0.300736869	0	0.300736869
HQ75206111437	GQ49142611332	0.300739167	0	0.300739167
DQ79373911403	AB61505111516	0.300746594	0	0.300746594
GQ17537511452	JF08949711303	0.300753571	0	0.300753571
DQ05742211460	GU30304711480	0.300765812	0	0.300765812
FJ97861911406	GQ44808111382	0.300771985	0	0.300771985
GQ89720311492	DQ45647811451	0.300776864	0	0.300776864
HW06628411495	HK55591911267	0.300779446	0	0.300779446
GQ17541411431	HQ78298711439	0.300779501	0	0.300779501
DQ45589611455	JX09563111390	0.300784838	0	0.300784838
KF84254211376	HQ78061411484	0.300786158	0	0.300786158
ABGD0200002118683380	DQ45629911422	0.300794792	0	0.300794792
HW06640611495	JF92030911340	0.300804543	0	0.300804543
KF84261711434	GQ44878511394	0.300805875	0	0.300805875
DQ45582811453	GQ44847111385	0.30080852	0	0.30080852
HQ81483311443	AJ81213811313	0.300813344	0	0.300813344
HM82412211344	HQ74654411445	0.300815132	0	0.300815132
HK55708931395	HQ78129911442	0.300822693	0	0.300822693
JX54345611491	GQ44805211379	0.300828014	0	0.300828014
GQ87173611483	EU47443111383	0.300846349	0	0.300846349
FN66739211495	HQ78061411484	0.300864462	0	0.300864462
JX09563111390	HM53477311436	0.300868917	0	0.300868917
EU46426111366	FJ51063711379	0.300879822	0	0.300879822
JQ51637311441	EU77159711411	0.300887828	0	0.300887828
GQ49188111349	CDZQ0105168138205334	0.300888286	0	0.300888286
