#OTU ID	SRR2668386	SRR2666966	SRR2666951	SRR2666430	SRR2666998	SRR2666992	SRR2666999	SRR2667424	SRR2666957	SRR2666996	SRR2668685	SRR2666955	SRR2666952	SRR2666949	SRR2667002	SRR2666948	SRR2666944	SRR2666429	SRR2666950	SRR2668394	SRR2666993	SRR2666962	SRR2668385	SRR2666431	SRR2666900	SRR2666954	SRR2666960	SRR2666943	SRR2668706	SRR2668785	SRR2668789	SRR2668681	SRR2668790	SRR2668794	SRR2666995	SRR2666428	SRR2668389	SRR2666989	SRR2666946	SRR2668393	SRR2668388	SRR2668683	SRR2668384	SRR2668686	SRR2667003	SRR2668783	SRR2668788	SRR2668787	SRR2668807	SRR2667186	SRR2667427	SRR2668392	SRR2666953	SRR2668391	SRR2668784	SRR2667423	SRR2667123	SRR2667060	SRR2668792	SRR2666963	SRR2668811	SRR2668782	SRR2668791	SRR2668812	SRR2668682	SRR2666965	SRR2667421	SRR2666945	SRR2667425	SRR2668684	SRR2668813	SRR2668786	SRR2667426	SRR2667422	SRR2667428	SRR2667004	SRR2668383	SRR2668395	SRR2668390	SRR2666959	SRR2668396	SRR2667000	SRR2666991	SRR2668387
AY979254.1.1338	2.0	5.0	13.0	2.0	3.0	0.0	15.0	3.0	7.0	1.0	0.0	8.0	8.0	12.0	4.0	5.0	1.0	0.0	5.0	0.0	7.0	7.0	0.0	3.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	2.0	0.0	1.0	8.0	1.0	0.0	3.0	2.0	4.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	2.0	0.0	12.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	3.0	0.0
GQ327319.1.1316	1.0	213.0	34.0	1.0	371.0	22.0	436.0	5.0	405.0	142.0	7.0	46.0	52.0	139.0	6.0	26.0	1.0	1.0	34.0	30.0	93.0	40.0	59.0	0.0	1.0	6.0	62.0	0.0	26.0	47.0	2.0	12.0	4.0	18.0	115.0	5.0	136.0	23.0	15.0	18.0	85.0	27.0	18.0	4.0	48.0	10.0	12.0	31.0	10.0	2.0	17.0	4.0	15.0	36.0	4.0	3.0	1.0	15.0	19.0	44.0	7.0	8.0	19.0	19.0	13.0	72.0	3.0	106.0	3.0	9.0	15.0	18.0	0.0	3.0	4.0	0.0	2.0	6.0	2.0	20.0	1.0	1.0	5.0	4.0
GQ175397.1.1443	0.0	0.0	0.0	0.0	1.0	1.0	2.0	26.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	21.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	1.0	0.0	17.0	16.0	2.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	2.0	0.0	2.0	0.0	0.0	0.0	3.0	1.0	0.0	0.0	0.0	0.0	22.0	0.0	0.0	0.0	0.0	0.0
GBID01003426.1.1409	1.0	3.0	3.0	2.0	6.0	0.0	10.0	0.0	15.0	1.0	0.0	9.0	0.0	2.0	1.0	7.0	3.0	0.0	2.0	1.0	2.0	10.0	6.0	0.0	9.0	1.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.0	4.0	1.0	0.0	1.0	2.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	3.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	2.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	2.0	2.0	0.0
DQ794314.1.1286	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	104.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	4.0	0.0	1.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	61.0	0.0	1.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	3.0	2.0	0.0	0.0	1.0	0.0	1.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
JX218602.1.1508	0.0	0.0	2.0	0.0	39.0	2.0	59.0	9.0	0.0	12.0	21.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.0	35.0	22.0	14.0	3.0	14.0	1.0	3.0	0.0	3.0	0.0	0.0	0.0	7.0	2.0	8.0	2.0	21.0	16.0	13.0	13.0	5.0	4.0	2.0	0.0	0.0	21.0	6.0	0.0	1.0	9.0	0.0	34.0	13.0	8.0	4.0	12.0	0.0	3.0	1.0	0.0	8.0	15.0	18.0	0.0	3.0	0.0	1.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0
DQ795887.1.1399	0.0	0.0	0.0	3.0	11.0	1.0	20.0	6.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	1.0	6.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	1.0	10.0	0.0	1.0	1.0	0.0	1.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	5.0	0.0	5.0	2.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	4.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	15.0	0.0
BABD01000745.662.2172	0.0	8.0	0.0	0.0	6.0	7.0	6.0	196.0	1.0	7.0	1.0	0.0	0.0	3.0	9.0	5.0	2.0	0.0	0.0	3.0	6.0	0.0	0.0	1.0	9.0	0.0	2.0	6.0	1.0	11.0	1.0	1.0	0.0	1.0	3.0	3.0	0.0	11.0	1.0	9.0	0.0	3.0	45.0	0.0	0.0	11.0	1.0	3.0	1.0	22.0	42.0	0.0	0.0	11.0	2.0	49.0	23.0	33.0	2.0	1.0	4.0	0.0	0.0	1.0	0.0	0.0	31.0	1.0	17.0	1.0	2.0	1.0	13.0	19.0	6.0	14.0	6.0	3.0	4.0	4.0	5.0	1.0	0.0	0.0
KM651140.1.1399	11.0	169.0	36.0	27.0	58.0	23.0	92.0	2.0	9.0	42.0	1.0	13.0	36.0	134.0	12.0	9.0	5.0	0.0	49.0	0.0	53.0	56.0	21.0	1.0	129.0	2.0	24.0	3.0	5.0	16.0	11.0	11.0	1.0	10.0	21.0	2.0	9.0	5.0	4.0	6.0	15.0	16.0	0.0	1.0	5.0	18.0	3.0	2.0	5.0	1.0	1.0	1.0	1.0	44.0	2.0	1.0	2.0	1.0	6.0	3.0	9.0	3.0	6.0	4.0	2.0	33.0	7.0	14.0	0.0	2.0	6.0	2.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	10.0	6.0
HW313923.1.1490	0.0	4.0	0.0	0.0	3.0	2.0	2.0	15.0	1.0	2.0	16.0	1.0	0.0	0.0	1.0	2.0	3.0	3.0	0.0	10.0	8.0	0.0	6.0	0.0	0.0	0.0	1.0	2.0	16.0	58.0	23.0	17.0	3.0	15.0	2.0	0.0	2.0	1.0	0.0	35.0	1.0	19.0	0.0	5.0	1.0	42.0	17.0	15.0	18.0	2.0	8.0	1.0	2.0	3.0	31.0	2.0	2.0	3.0	17.0	9.0	49.0	13.0	14.0	21.0	8.0	4.0	0.0	3.0	1.0	15.0	19.0	15.0	1.0	1.0	1.0	5.0	0.0	1.0	0.0	2.0	0.0	0.0	0.0	3.0
