OTU 1	OTU 2	corr	pval
EU45332511429	DQ05741111426	0.330109844521	0.0
EU45332511429	EU45158011414	0.405393310884	0.0
EU45332511429	GQ13574111431	0.311779606557	0.0
EU45332511429	EU45364311432	0.355441823486	0.0
AY49320211530	FN66742411495	0.340528376926	0.0
AY49320211530	AY44512711522	0.270700807968	0.0
AY49320211530	GQ07075411388	0.318538164178	0.0
AY49320211530	DQ05742911489	0.358787250679	0.0
DQ79437011390	DQ79368311390	0.309703601994	0.0
GQ26792111489	DQ05741111426	0.651997287615	0.0
GQ26792111489	KF84331011418	-0.250663443793	0.0
GQ26792111489	EU45158011414	0.404454860924	0.0
GQ26792111489	EU79113411555	0.309930893028	0.0
GQ26792111489	GQ13574111431	0.485631278762	0.0
GQ26792111489	JN62021211429	0.307981252392	0.0
GQ26792111489	GQ26787611424	0.692754127381	0.0
GQ26792111489	GQ07075411388	0.385197007797	0.0
GQ26792111489	DQ05742911489	0.333972391358	0.0
GQ26792111489	JQ47333711437	0.282660496444	0.0
JNHK01000015152778154288	HQ80431011461	-0.292860066636	0.0
JNHK01000015152778154288	KF84331011418	-0.486795137878	0.0
JNHK01000015152778154288	KF84206311425	0.627879503347	0.0
JNHK01000015152778154288	GQ49147811372	-0.29017205889	0.0
JNHK01000015152778154288	HQ79430911447	-0.276227641296	0.0
JNHK01000015152778154288	KC56110911508	0.324800117099	0.0
JNHK01000015152778154288	DQ45615511438	-0.296858076253	0.0
JNHK01000015152778154288	GQ17539111436	-0.299883002669	0.0
FN66742411495	JQ18364811359	0.329763773484	0.0
FN66742411495	AY44512711522	0.385471776359	0.0
FN66742411495	EU45543611434	0.274145867584	0.0
FN66742411495	HQ80431011461	0.500131664206	0.0
FN66742411495	KF84331011418	0.322869621656	0.0
FN66742411495	AF37622711338	0.369587738714	0.0
FN66742411495	GQ17551511424	0.284515728228	0.0
FN66742411495	AB61613411495	0.371927665776	0.0
FN66742411495	GQ49147811372	0.542266874947	0.0
FN66742411495	HQ79430911447	0.431729375402	0.0
FN66742411495	AY98530011345	0.301879300916	0.0
FN66742411495	GQ07075411388	0.530099568831	0.0
FN66742411495	DQ05742911489	0.371426583672	0.0
FN66742411495	KC56110911508	-0.424056874445	0.0
FN66742411495	GQ23143611471	0.370673455907	0.0
FN66742411495	EU76701811359	0.486707983606	0.0
FN66742411495	DQ45582411440	0.433387825623	0.0
FN66742411495	DQ45615511438	0.488051701507	0.0
FN66742411495	GQ17539111436	0.532590627672	0.0
FN66742411495	DQ05741311447	0.392602242365	0.0
DQ79376011393	FJ36750911357	0.365972929109	0.0
DQ79376011393	DQ80650611388	0.252157723155	0.0
AB05010611404	KF84220311417	0.529816014512	0.0
